strain,country,region,year,classification,strain,ST,K_locus,O_locus,O_type
GCF_900507555.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR159,ST160,KL62,O1v1,O1
GCF_900507535.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR160,ST35,KL22,O1v1,O1
GCF_900508865.1,Turkey,Asia_western,2013,human_abscess_pus_fluid,EuSCAPE_TR170,ST35,KL22,O1v1,O1
GCF_900509105.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR175,ST15,KL112,O1v1,O1
GCF_900508135.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR176,ST420,KL20,O1v1,O1
GCF_900508195.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR178,ST35,KL22,O1v1,O1
GCF_900508625.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR188,ST831,KL18,O1v1,O1
GCF_900508675.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR197,ST219,KL114,O1v1,O1
GCF_900508765.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR208,ST107,KL10,O1v1,O1
GCF_900508805.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR209,ST15,KL112,O1v1,O1
GCF_900508835.1,Turkey,Asia_western,2014,human_wound_trauma,EuSCAPE_TR215,ST551,KL10,O1v1,O1
GCF_900508855.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR227,ST281,KL64,O1v1,O1
GCF_900509025.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR244,ST107,KL10,O1v1,O1
GCF_900509045.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR245,ST107,KL10,O1v1,O1
GCF_900508995.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR252,ST15,KL112,O1v1,O1
GCF_900509005.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR253,ST15,KL112,O1v1,O1
GCF_900509135.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR272,ST882,KL16,O1v1,O1
GCF_900508155.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR282,ST14,KL2,O1v1,O1
GCF_900508245.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR304,ST101,KL17,O1v1,O1
GCF_900508295.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR307,ST14,KL2,O1v1,O1
GCF_900508285.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR308,ST882,KL16,O1v1,O1
GCF_900503805.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK001,ST882,KL16,O1v1,O1
GCF_900504895.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK044,ST3681,KL2,O1v1,O1
GCF_900503955.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK079,ST107,KL103,O1v1,O1
GCF_900503145.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK099,ST327,KL39,O1v1,O1
GCF_900503235.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK123,ST968,KL5,O1v1,O1
GCF_900510525.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR042,ST395,KL108,O1v2,O1
GCF_900502435.1,Greece,Europe_southern,2014,human,EuSCAPE_GR162,ST101,KL106,O1v2,O1
GCF_900513745.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL081,ST111,KL63,O1v2,O1
GCF_900517345.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES222,ST65,KL2,O1v2,O1
GCF_900517475.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES242,ST20,KL28,O1v2,O1
GCF_900515375.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT193,ST25,KL2,O1v2,O1
GCF_900503075.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK084,ST3683,KL2,O1v2,O1
GCF_900503205.1,UK,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_UK106,ST922,KL2,O1v2,O1
GCF_900506525.1,Belgium,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_BE008,ST29,KL19,O1v2,O1
GCF_900506595.1,Belgium,Europe_western,2014,human_wound_trauma,EuSCAPE_BE017,ST29,KL19,O1v2,O1
GCF_900506345.1,Ireland,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_IE022,ST15,KL19,O1v2,O1
GCF_900506375.1,Ireland,Europe_northern,2014,human_urogenital_urine,EuSCAPE_IE029,ST15,KL19,O1v2,O1
GCF_900511955.1,Malta,Europe_southern,2013,human_urogenital_urine,EuSCAPE_MT012,ST15,KL19,O1v2,O1
GCF_900508895.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR228,ST15,KL19,O1v2,O1
GCF_900508975.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR232,ST15,KL19,O1v2,O1
GCF_900508935.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR236,ST15,KL19,O1v2,O1
GCF_900508945.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR240,ST15,KL19,O1v2,O1
GCF_900509015.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR241,ST15,KL19,O1v2,O1
GCF_900508305.1,Austria,Europe_western,2014,human_urogenital_urine,EuSCAPE_AT015,ST111,KL63,O1v2,O1
GCF_900506635.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE041,ST20,KL28,O1v2,O1
GCF_900507825.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE109,ST416,KL30,O1v2,O1
GCF_900503795.1,Cyprus,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_CY002,ST13,KL57,O1v2,O1
GCF_900511325.1,Czech Republic,Europe_eastern,2014,human_respiratory,EuSCAPE_CZ022,ST461,KL62,O1v2,O1
GCF_900512465.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE041,ST29,KL30,O1v2,O1
GCF_900511265.1,France,Europe_western,2013,human,EuSCAPE_FR079,ST3650,KL62,O1v2,O1
GCF_900500875.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR073,ST383,KL30,O1v2,O1
GCF_900500905.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR075,ST383,KL30,O1v2,O1
GCF_900500925.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR077,ST383,KL30,O1v2,O1
GCF_900502315.1,Greece,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_GR127,ST383,KL30,O1v2,O1
GCF_900501615.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR160,ST231,KL51,O1v2,O1
GCF_900517115.1,Hungary,Europe_eastern,2013,human_wound_trauma,EuSCAPE_HU001,ST525,KL45,O1v2,O1
GCF_900513485.1,Israel,Asia_western,2013,human,EuSCAPE_IL051,ST383,KL30,O1v2,O1
GCF_900513055.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT045,ST39,KL62,O1v2,O1
GCF_900514195.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT101,ST20,KL28,O1v2,O1
GCF_900514315.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT207,ST15,KL106,O1v2,O1
GCF_900513875.1,Montenegro,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_ME006,ST29,KL30,O1v2,O1
GCF_900504365.1,Romania,Europe_eastern,2014,human_nasal_throat_mouth,EuSCAPE_RO085,ST25,KL2,O1v2,O1
GCF_900504425.1,Romania,Europe_eastern,2014,human_wound_trauma,EuSCAPE_RO093,ST383,KL30,O1v2,O1
GCF_900501625.1,Serbia,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_RS001,ST29,KL30,O1v2,O1
GCF_900510725.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK023,ST234,KL30,O1v2,O1
GCF_900508065.1,Turkey,Asia_western,2014,human_wound_trauma,EuSCAPE_TR083,ST395,KL108,O1v2,O1
GCF_900504775.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK023,ST13,KL3,O1v2,O1
GCF_900506685.1,Belgium,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_BE043,ST234,KL30,O1v2,O1
GCF_900502695.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT008,ST231,KL51,O1v2,O1
GCF_900501725.1,Portugal,Europe_southern,2013,human_wound_trauma,EuSCAPE_PT037,ST231,KL51,O1v2,O1
GCF_900501695.1,Portugal,Europe_southern,2013,human_respiratory,EuSCAPE_PT038,ST231,KL51,O1v2,O1
GCF_900501925.1,Portugal,Europe_southern,2014,human_respiratory,EuSCAPE_PT063,ST231,KL51,O1v2,O1
GCF_900504475.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO097,ST8,KL3,O1v2,O1
GCF_900502935.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_SC030,ST1,KL19,O1v2,O1
GCF_900507715.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR018,ST110,KL2,O1v2,O1
GCF_900509115.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR270,ST985,KL39,O1v2,O1
GCF_900503845.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK055,ST29,KL19,O1v2,O1
GCF_900513005.1,Israel,Asia_western,2013,human_urogenital_urine,EuSCAPE_IL036,ST337,unknown,O1v2,O1
GCF_900508125.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR089,ST395,unknown,O1v2,O1
GCF_900511245.1,Austria,Europe_western,2014,human_wound_trauma,EuSCAPE_AT028,ST23,KL1,O1v2,O1
GCF_900511835.1,Estonia,Europe_northern,2014,human_wound_trauma,EuSCAPE_EE009,ST395,KL108,O1v2,O1
GCF_900512835.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT021,ST395,KL108,O1v2,O1
GCF_900515115.1,Italy,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_IT149,ST23,KL1,O1v2,O1
GCF_900517805.1,Luxembourg,Europe_western,2013,human_urogenital_urine,EuSCAPE_LU003,ST395,KL108,O1v2,O1
GCF_900503695.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU017,ST395,KL108,O1v2,O1
GCF_900502205.1,Portugal,Europe_southern,2014,human,EuSCAPE_PT098,ST57,KL1,O1v2,O1
GCF_900507975.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR061,ST395,KL108,O1v2,O1
GCF_900508075.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR085,ST395,KL108,O1v2,O1
GCF_900508105.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR086,ST395,KL108,O1v2,O1
GCF_900507325.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR118,ST395,KL108,O1v2,O1
GCF_900507395.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR126,ST395,KL108,O1v2,O1
GCF_900508905.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR229,ST23,KL1,O1v2,O1
GCF_900508915.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR231,ST23,KL1,O1v2,O1
GCF_900506335.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE033,ST416,KL30,O1v2,O1
GCF_900506745.1,Belgium,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_BE052,ST25,KL2,O1v2,O1
GCF_900506805.1,Belgium,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_BE063,ST39,KL149,O1v2,O1
GCF_900507025.1,Belgium,Europe_western,2013,human_respiratory,EuSCAPE_BE085,ST70,KL122,O1v2,O1
GCF_900507015.1,Belgium,Europe_western,2014,human_wound_trauma,EuSCAPE_BE090,ST70,KL122,O1v2,O1
GCF_900512355.1,Germany,Europe_western,2013,human_catheter_tube_tip,EuSCAPE_DE026,ST111,KL63,O1v2,O1
GCF_900512395.1,Germany,Europe_western,2014,human_wound_trauma,EuSCAPE_DE029,ST20,KL28,O1v2,O1
GCF_900512545.1,Germany,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_DE054,ST25,KL2,O1v2,O1
GCF_900512555.1,Germany,Europe_western,2014,human,EuSCAPE_DE055,ST25,KL2,O1v2,O1
GCF_900512635.1,Germany,Europe_western,2013,human_urogenital_urine,EuSCAPE_DE075,ST530,KL54,O1v2,O1
GCF_900501635.1,Denmark,Europe_northern,2013,human_respiratory,EuSCAPE_DK004,ST39,KL23,O1v2,O1
GCF_900502575.1,Denmark,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_DK010,ST25,KL2,O1v2,O1
GCF_900502595.1,Denmark,Europe_northern,2014,human_urogenital_urine,EuSCAPE_DK018,ST39,KL51,O1v2,O1
GCF_900511755.1,Estonia,Europe_northern,2013,human_respiratory,EuSCAPE_EE007,ST23,KL1,O1v2,O1
GCF_900516355.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES063,ST163,KL28,O1v2,O1
GCF_900501015.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES124,ST1823,KL113,O1v2,O1
GCF_900501025.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES128,ST234,KL30,O1v2,O1
GCF_900517295.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES218,ST65,KL2,O1v2,O1
GCF_900517715.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES288,ST13,KL3,O1v2,O1
GCF_900502505.1,Greece,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_GR092,ST29,KL54,O1v2,O1
GCF_900501715.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR098,ST29,KL54,O1v2,O1
GCF_900501805.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR099,ST29,KL54,O1v2,O1
GCF_900501505.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR118,ST111,KL63,O1v2,O1
GCF_900505825.1,Croatia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_HR026,ST25,KL2,O1v2,O1
GCF_900505985.1,Croatia,Europe_southern,2014,human_respiratory,EuSCAPE_HR056,ST1107,KL3,O1v2,O1
GCF_900504925.1,Croatia,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_HR089,ST525,KL45,O1v2,O1
GCF_900504955.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR098,ST25,KL2,O1v2,O1
GCF_900506425.1,Ireland,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_IE037,ST65,KL2,O1v2,O1
GCF_900513455.1,Israel,Asia_western,2013,human_urogenital_urine,EuSCAPE_IL045,ST39,KL23,O1v2,O1
GCF_900513525.1,Israel,Asia_western,2013,human_wound_trauma,EuSCAPE_IL056,ST234,KL30,O1v2,O1
GCF_900513595.1,Israel,Asia_western,2014,human_wound_trauma,EuSCAPE_IL061,ST13,KL3,O1v2,O1
GCF_900513665.1,Israel,Asia_western,2014,human,EuSCAPE_IL072,ST111,KL63,O1v2,O1
GCF_900513765.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL082,ST13,KL3,O1v2,O1
GCF_900512895.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT029,ST25,KL2,O1v2,O1
GCF_900508515.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT031,ST186,KL114,O1v2,O1
GCF_900513075.1,Italy,Europe_southern,2013,human_catheter_tube_tip,EuSCAPE_IT047,ST3656,KL146,O1v2,O1
GCF_900513275.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT081,ST416,KL30,O1v2,O1
GCF_900515275.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT099,ST20,KL28,O1v2,O1
GCF_900514985.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT133,ST985,KL39,O1v2,O1
GCF_900514235.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT197,ST111,KL63,O1v2,O1
GCF_900514705.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT223,ST881,KL2,O1v2,O1
GCF_900515895.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT321,ST881,KL2,O1v2,O1
GCF_900515455.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT375,ST416,KL30,O1v2,O1
GCF_900515625.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT399,ST15,KL146,O1v2,O1
GCF_900513895.1,Montenegro,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ME009,ST29,KL30,O1v2,O1
GCF_900511925.1,Malta,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_MT008,ST1082,KL51,O1v2,O1
GCF_900511855.1,Norway,Europe_northern,2014,human_urogenital_urine,EuSCAPE_NO016,ST39,KL23,O1v2,O1
GCF_900510075.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL005,ST25,KL2,O1v2,O1
GCF_900502095.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT082,ST29,KL54,O1v2,O1
GCF_900502085.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT084,ST39,KL23,O1v2,O1
GCF_900504135.1,Romania,Europe_eastern,2014,human_abscess_pus_fluid,EuSCAPE_RO062,ST525,KL45,O1v2,O1
GCF_900504395.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO087,ST25,KL2,O1v2,O1
GCF_900505215.1,Serbia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_RS036,ST29,KL30,O1v2,O1
GCF_900507235.1,Serbia,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_RS120,ST29,KL30,O1v2,O1
GCF_900507205.1,Serbia,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_RS121,ST29,KL30,O1v2,O1
GCF_900503285.1,Slovenia,Europe_southern,2014,human_urogenital_urine,EuSCAPE_SI018,ST3673,KL45,O1v2,O1
GCF_900507735.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR025,ST530,KL54,O1v2,O1
GCF_900507475.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR151,ST985,KL39,O1v2,O1
GCF_900508405.1,Turkey,Asia_western,2013,human_wound_trauma,EuSCAPE_TR180,ST13,KL3,O1v2,O1
GCF_900508505.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR181,ST20,KL28,O1v2,O1
GCF_900508635.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR189,ST530,KL54,O1v2,O1
GCF_900508655.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR196,ST29,KL54,O1v2,O1
GCF_900508735.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR201,ST525,KL45,O1v2,O1
GCF_900508715.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR202,ST525,KL45,O1v2,O1
GCF_900508725.1,Turkey,Asia_western,2014,human_respiratory,EuSCAPE_TR203,ST525,KL45,O1v2,O1
GCF_900508745.1,Turkey,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_TR204,ST525,KL45,O1v2,O1
GCF_900508755.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR205,ST525,KL45,O1v2,O1
GCF_900508785.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR210,ST111,KL63,O1v2,O1
GCF_900508215.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR285,ST985,KL39,O1v2,O1
GCF_900508205.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR286,ST25,KL2,O1v2,O1
GCF_900508255.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR306,ST185,KL130,O1v2,O1
GCF_900504785.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_UK019,ST25,KL2,O1v2,O1
GCF_900503065.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK070,ST13,KL3,O1v2,O1
GCF_900503265.1,UK,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_UK127,ST25,KL2,O1v2,O1
GCF_900504655.1,UK,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_UK137,ST25,KL2,O1v2,O1
GCF_900517355.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES232,ST3646,KL22,O2v1,O2
GCF_900502285.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR121,ST11,KL24,O2v1,O2
GCF_900513495.1,Israel,Asia_western,2013,human_wound_trauma,EuSCAPE_IL049,ST45,KL62,O2v1,O2
GCF_900513195.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT058,ST11,KL24,O2v1,O2
GCF_900511495.1,Poland,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_PL048,ST11,KL24,O2v1,O2
GCF_900502625.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT003,ST45,KL24,O2v1,O2
GCF_900502835.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT028,ST45,KL24,O2v1,O2
GCF_900501955.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT064,ST45,KL24,O2v1,O2
GCF_900511015.1,Czech Republic,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_CZ014,ST11,KL24,O2v1,O2
GCF_900506795.1,Belgium,Europe_western,2013,human_wound_trauma,EuSCAPE_BE062,ST45,KL24,O2v1,O2
GCF_900516255.1,Spain,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_ES047,ST11,KL24,O2v1,O2
GCF_900516535.1,Spain,Europe_southern,2013,human_wound_trauma,EuSCAPE_ES084,ST11,KL24,O2v1,O2
GCF_900500845.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR070,ST147,KL64,O2v1,O2
GCF_900506275.1,Croatia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_HR088,ST45,KL24,O2v1,O2
GCF_900513995.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT002,ST45,KL43,O2v1,O2
GCF_900515965.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT329,ST45,KL24,O2v1,O2
GCF_900503705.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU014,ST45,KL62,O2v1,O2
GCF_900510765.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK024,ST11,KL2,O2v1,O2
GCF_900510905.1,Slovakia,Europe_eastern,2014,human_wound_trauma,EuSCAPE_SK046,ST11,KL2,O2v1,O2
GCF_900507725.1,Belgium,Europe_western,2014,human_abscess_pus_fluid,EuSCAPE_BE107,ST268,KL20,O2v1,O2
GCF_900516945.1,Bulgaria,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_BU022,ST11,KL24,O2v1,O2
GCF_900508445.1,Czech Republic,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_CZ016,ST11,KL24,O2v1,O2
GCF_900512345.1,Germany,Europe_western,2013,human_urogenital_urine,EuSCAPE_DE024,ST147,KL64,O2v1,O2
GCF_900512415.1,Germany,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_DE032,ST45,KL43,O2v1,O2
GCF_900512615.1,Germany,Europe_western,2013,human_wound_trauma,EuSCAPE_DE059,ST11,KL24,O2v1,O2
GCF_900516415.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES065,ST147,KL64,O2v1,O2
GCF_900516605.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES094,ST147,KL64,O2v1,O2
GCF_900501685.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES107,ST147,KL64,O2v1,O2
GCF_900517335.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES223,ST45,KL24,O2v1,O2
GCF_900517375.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES225,ST147,KL64,O2v1,O2
GCF_900517405.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES229,ST147,KL64,O2v1,O2
GCF_900517465.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES237,ST147,KL64,O2v1,O2
GCF_900517615.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES259,ST268,KL20,O2v1,O2
GCF_900501265.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR001,ST11,KL24,O2v1,O2
GCF_900501545.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR008,ST11,KL24,O2v1,O2
GCF_900501575.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR010,ST11,KL24,O2v1,O2
GCF_900500745.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR016,ST11,KL24,O2v1,O2
GCF_900500735.1,Greece,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_GR026,ST11,KL24,O2v1,O2
GCF_900500715.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR027,ST11,KL24,O2v1,O2
GCF_900500895.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR074,ST11,KL24,O2v1,O2
GCF_900502635.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR094,ST11,KL24,O2v1,O2
GCF_900502325.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR133,ST11,KL24,O2v1,O2
GCF_900502385.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR134,ST11,KL24,O2v1,O2
GCF_900501515.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR135,ST11,KL24,O2v1,O2
GCF_900510265.1,Poland,Europe_eastern,2013,human_respiratory,EuSCAPE_PL046,ST3666,KL24,O2v1,O2
GCF_900502905.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT036,ST45,KL24,O2v1,O2
GCF_900502015.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT071,ST45,KL24,O2v1,O2
GCF_900504015.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO047,ST147,KL64,O2v1,O2
GCF_900505345.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS053,ST147,KL64,O2v1,O2
GCF_900510605.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK003,ST11,KL2,O2v1,O2
GCF_900510775.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK025,ST11,KL2,O2v1,O2
GCF_900508175.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR283,ST45,KL24,O2v1,O2
GCF_900504905.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK041,ST11,KL24,O2v1,O2
GCF_900511005.1,Czech Republic,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_CZ013,ST11,KL24,O2v1,O2
GCF_900511045.1,Czech Republic,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_CZ017,ST45,KL24,O2v1,O2
