strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900509265.1,EuSCAPE_IT111,≤0.06,Functional,Functional,Unknown
GCF_900514835.1,EuSCAPE_IT117,≤0.06,Functional,Functional,Unknown
GCF_900509575.1,EuSCAPE_IT091,≤0.06,Functional,Functional,Unknown
GCF_900514905.1,EuSCAPE_IT129,≤0.06,Functional,Functional,Unknown
GCF_900514945.1,EuSCAPE_IT131,≤0.06,Functional,Functional,Unknown
GCF_900515055.1,EuSCAPE_IT093,≤0.06,Functional,Functional,Unknown
GCF_900515275.1,EuSCAPE_IT099,≤0.06,Functional,Functional,Unknown
GCF_900515245.1,EuSCAPE_IT175,≤0.06,Functional,Functional,Unknown
GCF_900515285.1,EuSCAPE_IT177,≤0.06,Functional,Functional,Unknown
GCF_900515335.1,EuSCAPE_IT185,≤0.06,Functional,Functional,Unknown
GCF_900509525.1,EuSCAPE_IT191,≤0.06,Functional,Functional,Unknown
GCF_900515375.1,EuSCAPE_IT193,≤0.06,Functional,Functional,Unknown
GCF_900515475.1,EuSCAPE_IT275,≤0.06,Functional,Functional,Unknown
GCF_900515565.1,EuSCAPE_IT387,≤0.06,Functional,Functional,Unknown
GCF_900509565.1,EuSCAPE_IT389,≤0.06,Functional,Functional,Unknown
GCF_900515665.1,EuSCAPE_LV002,≤0.06,Functional,Functional,Unknown
GCF_900516075.1,EuSCAPE_IT342,≤0.06,Functional,Functional,Unknown
GCF_900517035.1,EuSCAPE_HU041,≤0.06,Functional,Functional,Unknown
GCF_900516965.1,EuSCAPE_HU044,≤0.06,Functional,Functional,Unknown
GCF_900516955.1,EuSCAPE_HU049,≤0.06,Functional,Functional,Unknown
GCF_900516985.1,EuSCAPE_HU050,≤0.06,Functional,Functional,Unknown
GCF_900517015.1,EuSCAPE_HU051,≤0.06,Functional,Functional,Unknown
GCF_900516995.1,EuSCAPE_HU052,≤0.06,Functional,Functional,Unknown
GCF_900517045.1,EuSCAPE_HU053,≤0.06,Functional,Functional,Unknown
GCF_900517105.1,EuSCAPE_HU065,≤0.06,Functional,Functional,Unknown
GCF_900517825.1,EuSCAPE_HR108,≤0.06,Functional,Functional,Unknown
GCF_900517865.1,EuSCAPE_GR009,≤0.06,Functional,Functional,Unknown
GCF_900509635.1,EuSCAPE_GR014,≤0.06,Functional,Functional,Unknown
GCF_900500685.1,EuSCAPE_GR015,≤0.06,Functional,Functional,Unknown
GCF_900500855.1,EuSCAPE_GR060,≤0.06,Functional,Functional,Unknown
GCF_900500885.1,EuSCAPE_GR071,≤0.06,Functional,Functional,Unknown
GCF_900500925.1,EuSCAPE_GR077,≤0.06,Functional,Functional,Unknown
GCF_900500975.1,EuSCAPE_GR011,≤0.06,Functional,Functional,Unknown
GCF_900501165.1,EuSCAPE_GR021,≤0.06,Functional,Functional,Unknown
GCF_900501225.1,EuSCAPE_GR038,≤0.06,Functional,Functional,Unknown
GCF_900501285.1,EuSCAPE_GR043,≤0.06,Functional,Functional,Unknown
GCF_900501255.1,EuSCAPE_GR047,≤0.06,Functional,Functional,Unknown
GCF_900501345.1,EuSCAPE_GR080,≤0.06,Functional,Functional,Unknown
GCF_900501415.1,EuSCAPE_GR097,≤0.06,Functional,Functional,Unknown
GCF_900501405.1,EuSCAPE_GR004,≤0.06,Functional,Functional,Unknown
GCF_900501425.1,EuSCAPE_GR112,≤0.06,Functional,Functional,Unknown
GCF_900501435.1,EuSCAPE_GR113,≤0.06,Functional,Functional,Unknown
GCF_900501495.1,EuSCAPE_GR117,≤0.06,Functional,Functional,Unknown
GCF_900501505.1,EuSCAPE_GR118,≤0.06,Functional,Functional,Unknown
GCF_900501475.1,EuSCAPE_GR005,≤0.06,Functional,Functional,Unknown
GCF_900501485.1,EuSCAPE_GR119,≤0.06,Functional,Functional,Unknown
GCF_900501465.1,EuSCAPE_GR120,≤0.06,Functional,Functional,Unknown
GCF_900501535.1,EuSCAPE_GR129,≤0.06,Functional,Functional,Unknown
GCF_900501595.1,EuSCAPE_GR159,≤0.06,Functional,Functional,Unknown
GCF_900501715.1,EuSCAPE_GR098,≤0.06,Functional,Functional,Unknown
GCF_900501805.1,EuSCAPE_GR099,≤0.06,Functional,Functional,Unknown
GCF_900502225.1,EuSCAPE_GR111,≤0.06,Functional,Functional,Unknown
GCF_900502245.1,EuSCAPE_GR114,≤0.06,Functional,Functional,Unknown
GCF_900502275.1,EuSCAPE_GR115,≤0.06,Functional,Functional,Unknown
GCF_900502265.1,EuSCAPE_GR116,≤0.06,Functional,Functional,Unknown
GCF_900502335.1,EuSCAPE_GR131,≤0.06,Functional,Functional,Unknown
GCF_900502375.1,EuSCAPE_GR142,≤0.06,Functional,Functional,Unknown
GCF_900502355.1,EuSCAPE_GR145,≤0.06,Functional,Functional,Unknown
GCF_900502435.1,EuSCAPE_GR162,≤0.06,Functional,Functional,Unknown
GCF_900502405.1,EuSCAPE_GR163,≤0.06,Functional,Functional,Unknown
GCF_900502505.1,EuSCAPE_GR092,≤0.06,Functional,Functional,Unknown
GCF_900502785.1,EuSCAPE_GR096,≤0.06,Functional,Functional,Unknown
GCF_900503075.1,EuSCAPE_UK084,≤0.06,Functional,Functional,Unknown
GCF_900503135.1,EuSCAPE_UK086,≤0.06,Functional,Functional,Unknown
GCF_900509725.1,EuSCAPE_UK089,≤0.06,Functional,Functional,Unknown
GCF_900503125.1,EuSCAPE_UK090,≤0.06,Functional,Functional,Unknown
GCF_900503145.1,EuSCAPE_UK099,≤0.06,Functional,Functional,Unknown
GCF_900503155.1,EuSCAPE_UK104,≤0.06,Functional,Functional,Unknown
GCF_900503225.1,EuSCAPE_UK105,≤0.06,Functional,Functional,Unknown
GCF_900503205.1,EuSCAPE_UK106,≤0.06,Functional,Functional,Unknown
GCF_900509705.1,EuSCAPE_UK107,≤0.06,Functional,Functional,Unknown
GCF_900503195.1,EuSCAPE_UK115,≤0.06,Functional,Functional,Unknown
GCF_900503215.1,EuSCAPE_UK119,≤0.06,Functional,Functional,Unknown
GCF_900503245.1,EuSCAPE_UK121,≤0.06,Functional,Functional,Unknown
GCF_900503235.1,EuSCAPE_UK123,≤0.06,Functional,Functional,Unknown
GCF_900509715.1,EuSCAPE_UK124,≤0.06,Functional,Functional,Unknown
GCF_900503265.1,EuSCAPE_UK127,≤0.06,Functional,Functional,Unknown
GCF_900509735.1,EuSCAPE_HR006,≤0.06,Functional,Functional,Unknown
GCF_900503375.1,EuSCAPE_HR028,≤0.06,Functional,Functional,Unknown
GCF_900503365.1,EuSCAPE_HR086,≤0.06,Functional,Functional,Unknown
GCF_900503525.1,EuSCAPE_RS061,≤0.06,Functional,Functional,Unknown
GCF_900503585.1,EuSCAPE_LU007,≤0.06,Functional,Functional,Unknown
GCF_900503595.1,EuSCAPE_LU009,≤0.06,Functional,Functional,Unknown
GCF_900503675.1,EuSCAPE_UK100,≤0.06,Functional,Functional,Unknown
GCF_900503665.1,EuSCAPE_LU010,≤0.06,Functional,Functional,Unknown
GCF_900503685.1,EuSCAPE_LU011,≤0.06,Functional,Functional,Unknown
GCF_900503715.1,EuSCAPE_LU013,≤0.06,Functional,Functional,Unknown
GCF_900503725.1,EuSCAPE_LU015,≤0.06,Functional,Functional,Unknown
GCF_900503755.1,EuSCAPE_LU020,≤0.06,Functional,Functional,Unknown
GCF_900503795.1,EuSCAPE_CY002,≤0.06,Functional,Functional,Unknown
GCF_900503945.1,EuSCAPE_RO008,≤0.06,Functional,Functional,Unknown
GCF_900503955.1,EuSCAPE_UK079,≤0.06,Functional,Functional,Unknown
GCF_900503975.1,EuSCAPE_UK081,≤0.06,Functional,Functional,Unknown
GCF_900503985.1,EuSCAPE_UK082,≤0.06,Functional,Functional,Unknown
GCF_900503965.1,EuSCAPE_RO043,≤0.06,Functional,Functional,Unknown
GCF_900509745.1,EuSCAPE_RO063,≤0.06,Functional,Functional,Unknown
GCF_900504155.1,EuSCAPE_RO066,≤0.06,Functional,Functional,Unknown
GCF_900504215.1,EuSCAPE_RO072,≤0.06,Functional,Functional,Unknown
GCF_900504255.1,EuSCAPE_RO073,≤0.06,Functional,Functional,Unknown
GCF_900504245.1,EuSCAPE_RO013,≤0.06,Functional,Functional,Unknown
GCF_900504265.1,EuSCAPE_RO075,≤0.06,Functional,Functional,Unknown
GCF_900504295.1,EuSCAPE_RO079,≤0.06,Functional,Functional,Unknown
GCF_900504365.1,EuSCAPE_RO085,≤0.06,Functional,Functional,Unknown
GCF_900504355.1,EuSCAPE_RO086,≤0.06,Functional,Functional,Unknown
GCF_900504395.1,EuSCAPE_RO087,≤0.06,Functional,Functional,Unknown
GCF_900509755.1,EuSCAPE_RO090,≤0.06,Functional,Functional,Unknown
GCF_900504475.1,EuSCAPE_RO097,≤0.06,Functional,Functional,Unknown
GCF_900504485.1,EuSCAPE_RO098,≤0.06,Functional,Functional,Unknown
GCF_900504535.1,EuSCAPE_RO017,≤0.06,Functional,Functional,Unknown
GCF_900504515.1,EuSCAPE_RO021,≤0.06,Functional,Functional,Unknown
GCF_900504565.1,EuSCAPE_UK136,≤0.06,Functional,Functional,Unknown
GCF_900504615.1,EuSCAPE_RO030,≤0.06,Functional,Functional,Unknown
GCF_900504625.1,EuSCAPE_RO032,≤0.06,Functional,Functional,Unknown
GCF_900504645.1,EuSCAPE_RO034,≤0.06,Functional,Functional,Unknown
GCF_900504655.1,EuSCAPE_UK137,≤0.06,Functional,Functional,Unknown
GCF_900504705.1,EuSCAPE_RO041,≤0.06,Functional,Functional,Unknown
GCF_900504925.1,EuSCAPE_HR089,≤0.06,Functional,Functional,Unknown
GCF_900504935.1,EuSCAPE_HR103,≤0.06,Functional,Functional,Unknown
GCF_900504985.1,EuSCAPE_HR094,≤0.06,Functional,Functional,Unknown
GCF_900504955.1,EuSCAPE_HR098,≤0.06,Functional,Functional,Unknown
GCF_900505015.1,EuSCAPE_HR100,≤0.06,Functional,Functional,Unknown
GCF_900505005.1,EuSCAPE_HR101,≤0.06,Functional,Functional,Unknown
GCF_900504995.1,EuSCAPE_HR102,≤0.06,Functional,Functional,Unknown
GCF_900505045.1,EuSCAPE_RS011,≤0.06,Functional,Functional,Unknown
GCF_900505215.1,EuSCAPE_RS036,≤0.06,Functional,Functional,Unknown
GCF_900505205.1,EuSCAPE_RS037,≤0.06,Functional,Functional,Unknown
GCF_900509805.1,EuSCAPE_RS065,≤0.06,Functional,Functional,Unknown
GCF_900505495.1,EuSCAPE_RS083,≤0.06,Functional,Functional,Unknown
GCF_900505515.1,EuSCAPE_RS084,≤0.06,Functional,Functional,Unknown
GCF_900509815.1,EuSCAPE_RS096,≤0.06,Functional,Functional,Unknown
GCF_900505705.1,EuSCAPE_HR012,≤0.06,Functional,Functional,Unknown
GCF_900505725.1,EuSCAPE_HR013,≤0.06,Functional,Functional,Unknown
GCF_900505785.1,EuSCAPE_HR015,≤0.06,Functional,Functional,Unknown
GCF_900505795.1,EuSCAPE_HR024,≤0.06,Functional,Functional,Unknown
GCF_900505825.1,EuSCAPE_HR026,≤0.06,Functional,Functional,Unknown
GCF_900505835.1,EuSCAPE_HR027,≤0.06,Functional,Functional,Unknown
GCF_900505865.1,EuSCAPE_HR030,≤0.06,Functional,Functional,Unknown
GCF_900505845.1,EuSCAPE_HR032,≤0.06,Functional,Functional,Unknown
GCF_900505855.1,EuSCAPE_RO108,≤0.06,Functional,Functional,Unknown
GCF_900505895.1,EuSCAPE_HR035,≤0.06,Functional,Functional,Unknown
GCF_900505905.1,EuSCAPE_HR038,≤0.06,Functional,Functional,Unknown
GCF_900505965.1,EuSCAPE_HR051,≤0.06,Functional,Functional,Unknown
GCF_900505995.1,EuSCAPE_HR052,≤0.06,Functional,Functional,Unknown
GCF_900506005.1,EuSCAPE_HR055,≤0.06,Functional,Functional,Unknown
GCF_900506025.1,EuSCAPE_HR058,≤0.06,Functional,Functional,Unknown
GCF_900506075.1,EuSCAPE_HR062,≤0.06,Functional,Functional,Unknown
GCF_900506095.1,EuSCAPE_HR064,≤0.06,Functional,Functional,Unknown
GCF_900506085.1,EuSCAPE_HR065,≤0.06,Functional,Functional,Unknown
GCF_900506135.1,EuSCAPE_HR069,≤0.06,Functional,Functional,Unknown
GCF_900506155.1,EuSCAPE_HR072,≤0.06,Functional,Functional,Unknown
GCF_900506195.1,EuSCAPE_HR077,≤0.06,Functional,Functional,Unknown
GCF_900506185.1,EuSCAPE_RO114,≤0.06,Functional,Functional,Unknown
GCF_900506205.1,EuSCAPE_HR081,≤0.06,Functional,Functional,Unknown
GCF_900509785.1,EuSCAPE_HR085,≤0.06,Functional,Functional,Unknown
GCF_900506285.1,EuSCAPE_BE031,≤0.06,Functional,Functional,Unknown
GCF_900509775.1,EuSCAPE_BE032,≤0.06,Functional,Functional,Unknown
GCF_900506305.1,EuSCAPE_IE013,≤0.06,Functional,Functional,Unknown
GCF_900509795.1,EuSCAPE_IE014,≤0.06,Functional,Functional,Unknown
GCF_900506365.1,EuSCAPE_IE018,≤0.06,Functional,Functional,Unknown
GCF_900506335.1,EuSCAPE_BE033,≤0.06,Functional,Functional,Unknown
GCF_900506415.1,EuSCAPE_BE034,≤0.06,Functional,Functional,Unknown
GCF_900506425.1,EuSCAPE_IE037,≤0.06,Functional,Functional,Unknown
GCF_900506405.1,EuSCAPE_IE039,≤0.06,Functional,Functional,Unknown
GCF_900506435.1,EuSCAPE_IE040,≤0.06,Functional,Functional,Unknown
GCF_900506445.1,EuSCAPE_IE042,≤0.06,Functional,Functional,Unknown
GCF_900506455.1,EuSCAPE_BE035,≤0.06,Functional,Functional,Unknown
GCF_900506485.1,EuSCAPE_BE003,≤0.06,Functional,Functional,Unknown
GCF_900506525.1,EuSCAPE_BE008,≤0.06,Functional,Functional,Unknown
GCF_900506545.1,EuSCAPE_BE010,≤0.06,Functional,Functional,Unknown
GCF_900506505.1,EuSCAPE_BE011,≤0.06,Functional,Functional,Unknown
GCF_900506605.1,EuSCAPE_BE036,≤0.06,Functional,Functional,Unknown
GCF_900506515.1,EuSCAPE_BE013,≤0.06,Functional,Functional,Unknown
GCF_900506535.1,EuSCAPE_BE014,≤0.06,Functional,Functional,Unknown
GCF_900506555.1,EuSCAPE_BE015,≤0.06,Functional,Functional,Unknown
GCF_900506575.1,EuSCAPE_BE016,≤0.06,Functional,Functional,Unknown
GCF_900506595.1,EuSCAPE_BE017,≤0.06,Functional,Functional,Unknown
GCF_900506585.1,EuSCAPE_BE019,≤0.06,Functional,Functional,Unknown
GCF_900506675.1,EuSCAPE_BE021,≤0.06,Functional,Functional,Unknown
GCF_900506645.1,EuSCAPE_BE038,≤0.06,Functional,Functional,Unknown
GCF_900506635.1,EuSCAPE_BE041,≤0.06,Functional,Functional,Unknown
GCF_900506625.1,EuSCAPE_BE042,≤0.06,Functional,Functional,Unknown
GCF_900506685.1,EuSCAPE_BE043,≤0.06,Functional,Functional,Unknown
GCF_900506655.1,EuSCAPE_BE046,≤0.06,Functional,Functional,Unknown
GCF_900506725.1,EuSCAPE_BE048,≤0.06,Functional,Functional,Unknown
GCF_900506695.1,EuSCAPE_BE049,≤0.06,Functional,Functional,Unknown
GCF_900506755.1,EuSCAPE_BE024,≤0.06,Functional,Functional,Unknown
GCF_900506745.1,EuSCAPE_BE052,≤0.06,Functional,Functional,Unknown
GCF_900506765.1,EuSCAPE_BE059,≤0.06,Functional,Functional,Unknown
GCF_900506805.1,EuSCAPE_BE063,≤0.06,Functional,Functional,Unknown
GCF_900506865.1,EuSCAPE_BE026,≤0.06,Functional,Functional,Unknown
GCF_900506895.1,EuSCAPE_BE075,≤0.06,Functional,Functional,Unknown
GCF_900506965.1,EuSCAPE_BE027,≤0.06,Functional,Functional,Unknown
GCF_900507025.1,EuSCAPE_BE085,≤0.06,Functional,Functional,Unknown
GCF_900507015.1,EuSCAPE_BE090,≤0.06,Functional,Functional,Unknown
GCF_900507125.1,EuSCAPE_BE102,≤0.06,Functional,Functional,Unknown
GCF_900509855.1,EuSCAPE_BE029,≤0.06,Functional,Functional,Unknown
GCF_900507145.1,EuSCAPE_RS109,≤0.06,Functional,Functional,Unknown
GCF_900507155.1,EuSCAPE_RS110,≤0.06,Functional,Functional,Unknown
GCF_900507185.1,EuSCAPE_BE030,≤0.06,Functional,Functional,Unknown
GCF_900507235.1,EuSCAPE_RS120,≤0.06,Functional,Functional,Unknown
GCF_900507205.1,EuSCAPE_RS121,≤0.06,Functional,Functional,Unknown
GCF_900507225.1,EuSCAPE_BE104,≤0.06,Functional,Functional,Unknown
GCF_900507315.1,EuSCAPE_TR107,≤0.06,Functional,Functional,Unknown
GCF_900507375.1,EuSCAPE_TR129,≤0.06,Functional,Functional,Unknown
GCF_900507445.1,EuSCAPE_TR149,≤0.06,Functional,Functional,Unknown
GCF_900507475.1,EuSCAPE_TR151,≤0.06,Functional,Functional,Unknown
GCF_900507555.1,EuSCAPE_TR159,≤0.06,Functional,Functional,Unknown
GCF_900507535.1,EuSCAPE_TR160,≤0.06,Functional,Functional,Unknown
GCF_900507525.1,EuSCAPE_BE122,≤0.06,Functional,Functional,Unknown
GCF_900507665.1,EuSCAPE_TR011,≤0.06,Functional,Functional,Unknown
GCF_900507655.1,EuSCAPE_TR012,≤0.06,Functional,Functional,Unknown
GCF_900507675.1,EuSCAPE_TR013,≤0.06,Functional,Functional,Unknown
GCF_900507685.1,EuSCAPE_TR014,≤0.06,Functional,Functional,Unknown
GCF_900507705.1,EuSCAPE_TR015,≤0.06,Functional,Functional,Unknown
GCF_900507715.1,EuSCAPE_TR018,≤0.06,Functional,Functional,Unknown
GCF_900507695.1,EuSCAPE_TR019,≤0.06,Functional,Functional,Unknown
GCF_900507835.1,EuSCAPE_TR042,≤0.06,Functional,Functional,Unknown
GCF_900508005.1,EuSCAPE_TR065,≤0.06,Functional,Functional,Unknown
GCF_900508115.1,EuSCAPE_TR094,≤0.06,Functional,Functional,Unknown
GCF_900508135.1,EuSCAPE_TR176,≤0.06,Functional,Functional,Unknown
GCF_900508165.1,EuSCAPE_TR281,≤0.06,Functional,Functional,Unknown
GCF_900508155.1,EuSCAPE_TR282,≤0.06,Functional,Functional,Unknown
GCF_900508175.1,EuSCAPE_TR283,≤0.06,Functional,Functional,Unknown
GCF_900508215.1,EuSCAPE_TR285,≤0.06,Functional,Functional,Unknown
GCF_900508205.1,EuSCAPE_TR286,≤0.06,Functional,Functional,Unknown
GCF_900508195.1,EuSCAPE_TR178,≤0.06,Functional,Functional,Unknown
GCF_900508235.1,EuSCAPE_TR302,≤0.06,Functional,Functional,Unknown
GCF_900508225.1,EuSCAPE_TR303,≤0.06,Functional,Functional,Unknown
GCF_900508245.1,EuSCAPE_TR304,≤0.06,Functional,Functional,Unknown
GCF_900508265.1,EuSCAPE_TR305,≤0.06,Functional,Functional,Unknown
GCF_900508295.1,EuSCAPE_TR307,≤0.06,Functional,Functional,Unknown
GCF_900508285.1,EuSCAPE_TR308,≤0.06,Functional,Functional,Unknown
GCF_900508355.1,EuSCAPE_PL053,≤0.06,Functional,Functional,Unknown
GCF_900508465.1,EuSCAPE_LT008,≤0.06,Functional,Functional,Unknown
GCF_900508545.1,EuSCAPE_IT095,≤0.06,Functional,Functional,Unknown
GCF_900508565.1,EuSCAPE_IT115,≤0.06,Functional,Functional,Unknown
GCF_900508675.1,EuSCAPE_TR197,≤0.06,Functional,Functional,Unknown
GCF_900508685.1,EuSCAPE_TR199,≤0.06,Functional,Functional,Unknown
GCF_900508665.1,EuSCAPE_TR168,≤0.06,Functional,Functional,Unknown
GCF_900508845.1,EuSCAPE_TR221,≤0.06,Functional,Functional,Unknown
GCF_900508865.1,EuSCAPE_TR170,≤0.06,Functional,Functional,Unknown
GCF_900508915.1,EuSCAPE_TR231,≤0.06,Functional,Functional,Unknown
GCF_900508965.1,EuSCAPE_TR237,≤0.06,Functional,Functional,Unknown
GCF_900509035.1,EuSCAPE_TR243,≤0.06,Functional,Functional,Unknown
GCF_900509085.1,EuSCAPE_TR265,≤0.06,Functional,Functional,Unknown
GCF_900509105.1,EuSCAPE_TR175,≤0.06,Functional,Functional,Unknown
GCF_900509115.1,EuSCAPE_TR270,≤0.06,Functional,Functional,Unknown
GCF_900509125.1,EuSCAPE_TR271,≤0.06,Functional,Functional,Unknown
GCF_900509135.1,EuSCAPE_TR272,≤0.06,Functional,Functional,Unknown
GCF_900510305.1,EuSCAPE_PL037,≤0.06,Functional,Functional,Unknown
GCF_900506665.1,EuSCAPE_BE040,≤0.06,Functional,Functional,Unknown
GCF_900516675.1,EuSCAPE_ES100,2,Functional,Functional,Sensitive
GCF_902157265.1,EuSCAPE_ES089,0.12,Functional,Functional,Sensitive
GCF_900514915.1,EuSCAPE_IT127,0.12,Functional,Functional,Unknown
GCF_902157125.1,EuSCAPE_IL046,2,Functional,Functional,Sensitive
GCF_900516145.1,EuSCAPE_IT355,2,Functional,Functional,Sensitive
GCF_900506845.1,EuSCAPE_BE067,2,Functional,Functional,Unknown
GCF_900507095.1,EuSCAPE_BE103,2,Functional,Functional,Unknown
GCF_900513145.1,EuSCAPE_IT055,≤0.06,Functional,Functional,Sensitive
GCF_900503465.1,EuSCAPE_RS046,2,Functional,Functional,Sensitive
GCF_902155855.1,EuSCAPE_RS105,2,Functional,Functional,Sensitive
GCF_900508765.1,EuSCAPE_TR208,1,Functional,Functional,Resistant
GCF_902156155.1,EuSCAPE_FR056,0.5,Functional,Functional,Sensitive
GCF_900517625.1,EuSCAPE_ES279,0.25,Functional,Functional,Sensitive
GCF_900506915.1,EuSCAPE_BE080,0.25,Functional,Functional,Unknown
GCF_900516475.1,EuSCAPE_ES075,0.5,Functional,Functional,Resistant
GCF_900516565.1,EuSCAPE_ES082,0.5,Functional,Functional,Resistant
GCF_900511325.1,EuSCAPE_CZ022,0.5,Functional,Functional,Sensitive
GCF_900516255.1,EuSCAPE_ES047,0.5,Functional,Functional,Sensitive
GCF_900516535.1,EuSCAPE_ES084,0.5,Functional,Functional,Sensitive
GCF_900517095.1,EuSCAPE_ES261,0.5,Functional,Functional,Sensitive
GCF_900517585.1,EuSCAPE_ES254,0.5,Functional,Functional,Sensitive
GCF_900503635.1,EuSCAPE_LU005,0.5,Functional,Functional,Sensitive
GCF_900505545.1,EuSCAPE_RS093,0.5,Functional,Functional,Unknown
GCF_900508635.1,EuSCAPE_TR189,0.5,Functional,Functional,Unknown
GCF_900517565.1,EuSCAPE_ES252,1,Functional,Functional,Resistant
GCF_900508905.1,EuSCAPE_TR229,1,Functional,Functional,Resistant
GCF_900512415.1,EuSCAPE_DE032,1,Functional,Functional,Resistant
GCF_900510405.1,EuSCAPE_FR011,1,Functional,Functional,Sensitive
GCF_900511815.1,EuSCAPE_DE012,1,Functional,Functional,Sensitive
GCF_900511825.1,EuSCAPE_MT001,1,Functional,Functional,Sensitive
GCF_900512255.1,EuSCAPE_DE017,1,Functional,Functional,Sensitive
GCF_900512485.1,EuSCAPE_DE043,1,Functional,Functional,Sensitive
GCF_902156035.1,EuSCAPE_DE075,1,Functional,Functional,Sensitive
GCF_900512665.1,EuSCAPE_DE078,1,Functional,Functional,Sensitive
GCF_900517505.1,EuSCAPE_ES248,1,Functional,Functional,Sensitive
GCF_900517645.1,EuSCAPE_ES262,1,Functional,Functional,Sensitive
GCF_900517695.1,EuSCAPE_ES285,1,Functional,Functional,Sensitive
GCF_900500945.1,EuSCAPE_ES269,1,Functional,Functional,Sensitive
GCF_900501215.1,EuSCAPE_ES172,1,Functional,Functional,Sensitive
GCF_900502915.1,EuSCAPE_FR040,1,Functional,Functional,Sensitive
GCF_900507265.1,EuSCAPE_TR098,1,Functional,Functional,Sensitive
GCF_900507355.1,EuSCAPE_TR117,1,Functional,Functional,Sensitive
GCF_900508405.1,EuSCAPE_TR180,1,Functional,Functional,Sensitive
GCF_900508575.1,EuSCAPE_TR183,1,Functional,Functional,Sensitive
GCF_900500765.1,EuSCAPE_GR031,1,Functional,Functional,Unknown
GCF_900503785.1,EuSCAPE_CY006,1,Functional,Functional,Unknown
GCF_900505975.1,EuSCAPE_HR053,1,Functional,Functional,Unknown
GCF_900507455.1,EuSCAPE_TR139,1,Functional,Functional,Unknown
GCF_900509345.1,EuSCAPE_TR154,1,Functional,Functional,Unknown
GCF_900507545.1,EuSCAPE_TR161,1,Functional,Functional,Unknown
GCF_900507565.1,EuSCAPE_BE105,1,Functional,Functional,Unknown
GCF_900507725.1,EuSCAPE_BE107,1,Functional,Functional,Unknown
GCF_900507745.1,EuSCAPE_TR027,1,Functional,Functional,Unknown
GCF_900507995.1,EuSCAPE_BE111,1,Functional,Functional,Unknown
GCF_900508505.1,EuSCAPE_TR181,1,Functional,Functional,Unknown
GCF_900508625.1,EuSCAPE_TR188,1,Functional,Functional,Unknown
GCF_900509045.1,EuSCAPE_TR245,1,Functional,Functional,Unknown
GCF_900511655.1,EuSCAPE_FR028,2,Functional,Functional,Resistant
GCF_900504745.1,EuSCAPE_UK013,2,Functional,Functional,Resistant
GCF_900508855.1,EuSCAPE_TR227,2,Functional,Functional,Resistant
GCF_900512495.1,EuSCAPE_DE005,2,Functional,Functional,Resistant
GCF_900510425.1,EuSCAPE_FR014,2,Functional,Functional,Sensitive
GCF_900510535.1,EuSCAPE_FR044,2,Functional,Functional,Sensitive
GCF_900511175.1,EuSCAPE_AT011,2,Functional,Functional,Sensitive
GCF_900511845.1,EuSCAPE_MT003,2,Functional,Functional,Sensitive
GCF_902156125.1,EuSCAPE_MT005,2,Functional,Functional,Sensitive
GCF_900511905.1,EuSCAPE_MT009,2,Functional,Functional,Sensitive
GCF_900511965.1,EuSCAPE_MT011,2,Functional,Functional,Sensitive
GCF_902156095.1,EuSCAPE_MT013,2,Functional,Functional,Sensitive
GCF_900512005.1,EuSCAPE_MT016,2,Functional,Functional,Sensitive
GCF_900516485.1,EuSCAPE_ES069,2,Functional,Functional,Sensitive
GCF_900516555.1,EuSCAPE_ES081,2,Functional,Functional,Sensitive
GCF_900517515.1,EuSCAPE_ES249,2,Functional,Functional,Sensitive
GCF_900501135.1,EuSCAPE_ES149,2,Functional,Functional,Sensitive
GCF_900506295.1,EuSCAPE_IE009,2,Functional,Functional,Sensitive
GCF_900507215.1,EuSCAPE_IE002,2,Functional,Functional,Sensitive
GCF_900507275.1,EuSCAPE_TR106,2,Functional,Functional,Sensitive
GCF_900507385.1,EuSCAPE_TR125,2,Functional,Functional,Sensitive
GCF_900507795.1,EuSCAPE_TR026,2,Functional,Functional,Sensitive
GCF_900507775.1,EuSCAPE_TR029,2,Functional,Functional,Sensitive
GCF_900507965.1,EuSCAPE_TR059,2,Functional,Functional,Sensitive
GCF_900511865.1,EuSCAPE_MT002,2,Functional,Functional,Unknown
GCF_900506715.1,EuSCAPE_BE047,2,Functional,Functional,Unknown
GCF_900507065.1,EuSCAPE_BE099,2,Functional,Functional,Unknown
GCF_900507135.1,EuSCAPE_BE100,2,Functional,Functional,Unknown
GCF_900507845.1,EuSCAPE_TR043,2,Functional,Functional,Unknown
GCF_900507865.1,EuSCAPE_TR046,2,Functional,Functional,Unknown
GCF_900507895.1,EuSCAPE_TR048,2,Functional,Functional,Unknown
GCF_900507875.1,EuSCAPE_TR049,2,Functional,Functional,Unknown
GCF_900507885.1,EuSCAPE_BE110,2,Functional,Functional,Unknown
GCF_900510485.1,EuSCAPE_FR041,≤0.06,Functional,Functional,Sensitive
GCF_900511695.1,EuSCAPE_FR036,≤0.06,Functional,Functional,Sensitive
GCF_900517125.1,EuSCAPE_ES270,≤0.06,Functional,Functional,Sensitive
GCF_900517755.1,EuSCAPE_ES263,≤0.06,Functional,Functional,Sensitive
GCF_900508015.1,EuSCAPE_TR070,≤0.06,Functional,Functional,Unknown
