strain	species	species_match	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	hypermucoidy	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR486353	Klebsiella pneumoniae	strong	349	95541	288652	ST27	0	1	7	11	-	0	-	0	-	0	-	0	-	wzi356	KL117	none	Very high	99.00%		O1v1	none	Very high	98.41%		ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Sat-2A;Aac3-IIa;Aph3''Ia;StrB?	MgrB-60%	-	GyrA-83Y	-	-	-	CatA1*	-	SulI?	-	DfrA1	AmpH*;TEM-1D*	-	SHV-40	-	-	-
ERR486354	Klebsiella pneumoniae	strong	177	200958	524908	ST42	0	0	8	13	-	0	-	0	-	0	-	0	-	wzi29	KL106	none	Very high	99.95%		O1v2	none	Very high	98.53%		ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-80I;GyrA-83F;GyrA-87Y	-	MphA	-	CatA1*	-	SulI	TetD;TetA*	DfrA5	AmpH*	-	-	-	-	SHV-26*;TEM-30*;TEM-30*
ERR486356	Klebsiella pneumoniae	strong	159	318311	605771	ST16	0	1	6	9	-	0	-	0	-	0	-	0	-	wzi50	KL51	?	Good	99.91%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	-	-	CatB4?	-	-	TetA	-	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
ERR486358	Klebsiella pneumoniae	strong	630	99511	293020	ST1380	0	0	2	2	-	0	-	0	-	0	-	0	-	wzi186	KL2	-	High	98.72%	KL2_13	O2v1	-	Good	97.99%	O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST1380	2	3	1	1	9	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR486359	Klebsiella pneumoniae	strong	172	239433	1017893	ST874-1LV	0	0	8	15	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	-	-	-	TEM-30*
ERR486360	Klebsiella pneumoniae	strong	177	211727	533099	ST147	0	1	5	6	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?	-	-	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486361	Klebsiella pneumoniae	strong	208	206481	533098	ST147	0	1	5	6	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?	-	-	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486362	Klebsiella pneumoniae	strong	165	206482	409203	ST147	0	1	6	9	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*	-	-	QnrB1*;ParC-80I;GyrA-83I	-	-	-	CatA2*	-	SulII	-	DfrA14	SHV-67*;AmpH*	-	CTX-M-15	-	-	-
ERR486365	Klebsiella pneumoniae	strong	302	163445	445402	ST26-1LV	0	0	5	6	-	0	-	0	-	0	-	0	-	wzi273	KL30	*	Very high	96.45%		O1v2	none	Very high	99.48%		ST26-1LV	2	1	1	1	9	1	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1	-	EreA2	-	CmlA5*?	-	SulI;SulI	-	DfrA5	AmpH*;SHV-69*?	-	-	-	-	-
ERR486366	Klebsiella pneumoniae	strong	228	161239	562945	ST502-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	0	KL8	?-*	Good	98.63%	KL8_08_wcsG,KL8_10_wcsI	O2v2	?-	Good	98.41%	O1/O2v2_08_gmlC,O1/O2v2_09_gmlB	ST502-1LV	2	53	3	1	1	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486367	Klebsiella pneumoniae	strong	110	189982	360082	ST147	0	1	6	10	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	?	Good	98.64%		ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IIa*	-	-	QnrB1*;ParC-80I;GyrA-83I	-	-	-	CatB4?	-	SulII	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486369	Klebsiella variicola	strong	270	277976	914351	ST1683	0	1	8	9	-	0	-	0	-	0	-	0	-	wzi71	KL71	none	Very high	99.98%		O5	none	Very high	99.56%		ST1683	16	18	21	27	39	22	278	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1	-	EreA2	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;LEN-24*;OXA-9	-	SHV-12	-	-	TEM-54*
ERR486370	Klebsiella variicola	strong	432	162952	402471	ST1608-1LV	0	1	4	5	-	0	-	0	-	0	-	0	-	wzi51	KL46	?*	Good	92.89%		O5	?-	Good	99.62%	O5_02_manB	ST1608-1LV	29	24	46	27	47	22	341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	-	-	-	-	-	-	-	-	DfrA5	AmpH*;LEN-24*;OXA-9	-	SHV-12	-	-	TEM-54*
ERR486372	Klebsiella pneumoniae	strong	106	425598	729876	ST16	0	0	5	7	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	-	-	-	-	SulI	-	DfrA25	AmpH*	-	-	-	-	SHV-26*
ERR486374	Klebsiella variicola	strong	140	432700	781030	ST1872-2LV	0	1	6	7	-	0	-	0	-	0	-	0	-	0	KL56	*	Very high	96.91%		OL103	none	Very high	96.51%		ST1872-2LV	16	24	21	31	54	40	103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1	-	EreA2	-	CmlA5*?	-	SulI;SulI	-	DfrA5	LEN-24*;AmpH*	-	SHV-12	-	-	-
ERR486375	Klebsiella pneumoniae	strong	143	204124	679563	ST15	1	1	7	10	ybt 10; ICEKp4	84-2LV	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?	-	SulII	-	DfrA14	AmpH*;SHV-28*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486376	Klebsiella pneumoniae	strong	184	215532	439133	ST359	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi236	KL10	none	Very high	99.56%		O1v2	none	Very high	99.41%		ST359	10	1	2	1	9	27	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486378	Klebsiella pneumoniae	strong	160	315642	487449	ST134	0	0	5	5	-	0	-	0	-	0	iro unknown	0	-	wzi168	KL25	-	High	98.26%	KL25_09_wfeD	O5	?*	Good	94.18%		ST134	3	1	2	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	-	SulI	TetA	DfrA1*	AmpH*	-	-	-	SHV-60	-
ERR486379	Klebsiella pneumoniae	strong	164	286708	1125802	ST874-1LV	0	1	9	16	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486381	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	211	193884	874819	ST334	0	0	2	2	-	0	-	0	-	0	-	0	-	wzi337	KL103	?*	Good	96.21%		O5	*	High	94.67%		ST334	18	22	18	22	25	37	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	-	AmpH*	-	-	-	OKP-B-17?	-
ERR486383	Klebsiella pneumoniae	strong	179	217143	1017887	ST874-1LV	0	1	9	15	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486387	Klebsiella pneumoniae	strong	93	357487	843881	ST5	4	0	0	0	ybt 2; ICEKp1	324	-	0	iuc 4	25	iro 5	7	-	wzi112	KL39	none	Very high	99.36%		O1v1	none	Very high	98.69%		ST5	2	2	1	1	3	3	3	8	7	9	6	5	13	36	6	7	7	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486388	Klebsiella pneumoniae	strong	146	203059	579681	ST45	1	0	5	5	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	wzi101	KL24	none	Very high	99.02%		O2v1	none	Very high	98.76%		ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	CatA1*	-	SulI	TetD	-	AmpH*	-	-	-	SHV-1*?	-
ERR486389	Klebsiella pneumoniae	strong	210	190036	869893	ST874	0	1	8	12	-	0	-	0	-	0	-	0	-	wzi222	KL45	?-	None	97.80%	KL45_06_wzc,KL45_07_wcaA,KL45_08_wcaJ,KL45_09_wcuP,KL45_10_wclI,KL45_11_wzy	O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486390	Klebsiella pneumoniae	strong	135	207887	429966	ST340	0	1	7	8	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	?	Good	99.67%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR486391	Klebsiella pneumoniae	strong	177	167833	672294	ST11	0	0	7	9	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.83%		O4	?	Good	99.66%		ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80I;GyrA-83I	-	MphA	-	CatA1*;CatB4?	-	SulI	-	DfrA12	AmpH*;OXA-1	-	-	-	SHV-11	-
ERR486392	Klebsiella pneumoniae	strong	132	362915	1543642	ST70	1	1	9	11	ybt 8; ICEKp9	195	-	0	-	0	-	0	-	wzi123	KL136	none	Very high	99.00%		O1v2	none	Very high	98.54%		ST70	2	6	17	1	20	10	25	5	11	6	5	1	99	138	9	29	5	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	-	CatB4?	-	SulII	TetA	DfrA14	AmpH*;OXA-1	-	CTX-M-15	-	SHV-32	TEM-30*
ERR486393	Klebsiella pneumoniae	strong	253	361409	1413852	ST292	2	0	0	0	ybt unknown	0	clb unknown	0	-	0	-	0	-	wzi96	KL38	none	Very high	99.93%		O3b	none	Very high	99.20%		ST292	2	1	2	1	1	1	4	6	15	5*	4*	11	28*	223*	42*	1*	91*	2	2	10*	2*	2	2*	2	2	8	2*	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	-
ERR486394	Klebsiella pneumoniae	strong	126	337507	797000	ST14	0	0	2	3	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.74%		O1v1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA	-	-	-	-	-	-	-	-	SulI?	-	-	AmpH*;SHV-28*	-	-	-	-	-
ERR486396	Klebsiella pneumoniae	strong	122	262969	395149	ST108-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi50	KL17	none	Very high	98.53%		O4	-	High	99.76%	O4_01_hydrolase	ST108-2LV	2	1	2	2	9	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486397	Klebsiella pneumoniae	strong	131	225248	504133	ST16	0	1	5	8	-	0	-	0	-	0	-	0	-	wzi50	KL51	?-	Good	99.94%	KL51_07_wcaJ	O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	-	-	CatB4?	-	-	TetA	-	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
ERR486398	Klebsiella pneumoniae	strong	126	298268	712972	ST1658	0	0	1	1	-	0	-	0	-	0	-	0	-	wzi227	KL60	none	Very high	99.71%		O3b	none	Very high	99.27%		ST1658	2	1	11	1	9	1	112	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26*
ERR486399	Klebsiella pneumoniae	strong	115	377288	975291	ST336	1	1	7	9	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.20%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	QnrB1?	-	-	-	CatB4?	-	SulII*	-	DfrA14	AmpH*;SHV-187*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486400	Klebsiella pneumoniae	strong	164	282238	466944	ST15	0	1	7	11	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.65%		O1v1	none	Very high	98.51%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatB4?	-	SulII	-	DfrA14	SHV-28*;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486401	Klebsiella pneumoniae	strong	109	285284	763458	ST35-1LV	1	1	6	6	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	wzi16	KL16	none	Very high	99.41%		O1v1	none	Very high	98.50%		ST35-1LV	2	1	2	1*	10	1	19	5	11	6	5	1	25*	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	-	-	-	-	CatB4?	-	-	TetA	-	AmpH*;OXA-1	-	CTX-M-15	-	SHV-33	TEM-30*
ERR486402	Klebsiella pneumoniae	strong	223	368071	961632	ST831	0	1	8	9	-	0	-	0	-	0	-	0	-	wzi18	KL18	none	Very high	99.53%		O1v1	none	Very high	97.69%		ST831	2	1	1	1	10	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1	-	EreA2	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;OXA-9	-	SHV-12?	-	TEM-55*	-
ERR486403	Klebsiella pneumoniae	strong	154	377287	1534186	ST336	1	1	8	12	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.16%	KL25_09_wfeD	O5	*	High	94.21%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aph3-Ia*;StrB?	-	-	QnrB1?	-	EreA2	-	CatB4?	-	SulI;SulII	-	DfrA5;DfrA14?	AmpH*;OXA-9;OXA-1	-	CTX-M-15	-	-	TEM-54*
ERR486404	Klebsiella pneumoniae	strong	222	330339	628582	ST111	1	0	4	6	ybt 14; ICEKp5	147-2LV	-	0	-	0	-	0	-	wzi63	KL63	none	Very high	99.36%		O1v2	none	Very high	99.29%		ST111	2	1	5	1	17	4	42	4	4	5	4	1	69	191*	2	4	4	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	-	-	-	-	-	-	SulI?;SulII*	-	DfrA7	AmpH*;SHV-187*	-	-	-	-	TEM-30*
ERR486405	Klebsiella pneumoniae	strong	92	389515	1561007	ST336	1	1	5	5	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.21%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	QnrB1?	-	-	-	CatB4?	-	-	-	DfrA14	SHV-187*;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR486406	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	112	266288	609728	ST144	0	0	6	7	-	0	-	0	-	0	-	0	-	0	KL107	-+*	None	87.50%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O5	none	High	94.65%		ST144	17	19	28	20	34	18	52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	-	-	-	-	CmlA5*	-	SulI;SulII	TetD	DfrA15b*	AmpH*	-	-	-	OKP-A-5	-
ERR486407	Klebsiella pneumoniae	strong	223	198154	462338	ST48	2	1	5	7	ybt 10; ICEKp4	81	clb 3	13-5LV	-	0	-	0	-	wzi167	KL124	?-	None	99.59%	KL124_07_wbaP,KL124_08_wctK,KL124_09_wcuP	O1v1	none	Very high	98.31%		ST48	2	5	2	2	7	1	10	3	12	4	19	3	42	39	3	10	9	24	2	10*	2	2	2	2	2	3	5	2	2	2*	2*	3	2	StrB;StrA*;AadA1-pm*?	-	-	-	-	-	-	-	-	SulII	TetA	DfrA15b*	AmpH*	-	SHV-13*?	-	-	-
ERR486408	Klebsiella pneumoniae	strong	305	188772	352896	ST54	0	2	10	13	-	0	-	0	-	0	-	0	-	wzi14	KL14	none	Very high	99.93%		O3b	none	Very high	99.22%		ST54	2	1	1	13	16	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc;StrB;StrA	-	-	QnrB2	-	EreA2?	-	CatA2*	-	SulII;SulI?	TetD	DfrA19*	AmpH*;OXA-2*	VIM-2*	SHV-12?	-	-	TEM-30*
ERR486409	Klebsiella pneumoniae	strong	323	188773	352895	ST54	0	1	9	15	-	0	-	0	-	0	-	0	-	wzi14	KL14	none	Very high	99.93%		O3b	none	Very high	99.23%		ST54	2	1	1	13	16	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc;Aph3''Ia*?;StrB;StrA;AadA1-pm*?;Aac6-Ib	-	-	QnrB2	-	EreA2?	-	CatA2*	-	SulII;SulI?	TetD	DfrA19*	AmpH*;OXA-9*	-	SHV-12?	-	TEM-55*	-
ERR486410	Klebsiella pneumoniae	strong	335	212687	539479	ST35	0	0	2	3	-	0	-	0	-	0	-	0	-	wzi37	KL22	-+	Low	99.49%	KL22_17	O1v1	none	Very high	98.12%		ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	-	-	-	-	-	-	-	-	-	AmpH*;FOX-8*;OXA-9	-	-	-	-	TEM-54*
ERR486411	Klebsiella pneumoniae	strong	207	342354	1399169	ST70	1	1	9	11	ybt 8; ICEKp9	195-1LV	-	0	-	0	-	0	-	wzi123	KL136	none	Very high	98.99%		O1/O2v2	none	Very high	98.55%		ST70	2	6	17	1	20	10	25	5	11	6	5	1	99*	138	9	29	5	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	-	CatB4?	-	SulII	TetA	DfrA14	AmpH*;OXA-1	-	CTX-M-15	-	SHV-32	TEM-30*
ERR486412	Klebsiella pneumoniae	strong	173	376273	776855	ST70	0	1	6	7	-	0	-	0	-	0	-	0	-	wzi162	KL122	none	Very high	99.95%		O1v2	none	Very high	98.51%		ST70	2	6	17	1	20	10	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-I*?	-	-	GyrA-83F	-	-	-	-	-	SulI	TetA	DfrA1*	AmpH*	-	SHV-5	-	-	-
ERR486413	Klebsiella pneumoniae	strong	190	256383	628751	ST101	1	1	8	13	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	wzi137	KL17	none	Perfect	100.00%		O1v1	none	Very high	98.02%		ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*	-	-	ParC-80I;GyrA-83Y;GyrA-87G	-	-	-	CatB4?	-	SulII	TetD	DfrA14	AmpH*;SHV-28*;OXA-1	-	CTX-M-15	-	-	TEM-30*;TEM-30*
ERR486414	Klebsiella pneumoniae	strong	118	214521	567002	ST976	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi415	KL54	none	Very high	99.85%		O1v1	-	Good	98.18%	O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST976	2	3	108	26	3	4	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
ERR486415	Klebsiella pneumoniae	strong	175	285543	704770	ST465	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi115	KL54	none	Very high	99.95%		O1v2	?-	Good	99.15%	O1/O2v2_04_glf	ST465	2	3	2	2	9	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187;AmpH*	-	-	-	-	-
ERR486416	Klebsiella pneumoniae	strong	159	207893	872571	ST340	0	1	9	12	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aac3-IIa*	-	-	ParC-80I;GyrA-83I	-	MphA	-	CatB4?;CatA1*	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	TEM-30*
ERR486417	Klebsiella pneumoniae	strong	111	376244	1280528	ST29	0	0	0	0	-	0	-	0	-	0	-	0	-	wzi115	KL54	none	Very high	99.94%		O1v2	none	Very high	99.15%		ST29	2	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187	-	-	-	-	-
